"adj_rand" "est" "T" "seed"
0.242424242424242 "MaxPEAR" 0.15 2022
0.242424242424242 "MaxPEAR" 0.2 2022
0.242424242424242 "MaxPEAR" 0.25 2022
0.242424242424242 "MaxPEAR" 0.3 2022
0.651162790697674 "MaxPEAR" 0.35 2022
0.242424242424242 "MaxPEAR" 0.4 2022
0.242424242424242 "MaxPEAR" 0.45 2022
0.242424242424242 "MaxPEAR" 0.5 2022
0.242424242424242 "MaxPEAR" 0.55 2022
0.242424242424242 "MaxPEAR" 0.6 2022
0.242424242424242 "MaxPEAR" 0.65 2022
0.242424242424242 "MaxPEAR" 0.7 2022
0.242424242424242 "MaxPEAR" 0.75 2022
0.242424242424242 "MaxPEAR" 0.8 2022
0.242424242424242 "MaxPEAR" 0.85 2022
0.651162790697674 "MaxPEAR" 0.9 2022
0.242424242424242 "MaxPEAR" 0.95 2022
0.242424242424242 "MaxPEAR" 1 2022
0.816326530612245 "MaxPEAR" 0.05 2023
0.242424242424242 "MaxPEAR" 0.1 2023
0.242424242424242 "MaxPEAR" 0.15 2023
0.816326530612245 "MaxPEAR" 0.2 2023
0.773413897280967 "MaxPEAR" 0.25 2023
0.816326530612245 "MaxPEAR" 0.3 2023
0.242424242424242 "MaxPEAR" 0.35 2023
0.773413897280967 "MaxPEAR" 0.4 2023
0.242424242424242 "MaxPEAR" 0.45 2023
0.242424242424242 "MaxPEAR" 0.5 2023
0.773413897280967 "MaxPEAR" 0.55 2023
0.242424242424242 "MaxPEAR" 0.6 2023
0.242424242424242 "MaxPEAR" 0.65 2023
0.242424242424242 "MaxPEAR" 0.7 2023
0.242424242424242 "MaxPEAR" 0.75 2023
0.242424242424242 "MaxPEAR" 0.8 2023
0.242424242424242 "MaxPEAR" 0.85 2023
0.816326530612245 "MaxPEAR" 0.9 2023
0.242424242424242 "MaxPEAR" 0.95 2023
0.242424242424242 "MaxPEAR" 1 2023
0.43609022556391 "MinBinder" 0.05 2015
0.170854271356784 "MinBinder" 0.1 2015
0.170854271356784 "MinBinder" 0.15 2015
0.43609022556391 "MinBinder" 0.2 2015
0.170854271356784 "MinBinder" 0.25 2015
0.170854271356784 "MinBinder" 0.3 2015
0.170854271356784 "MinBinder" 0.35 2015
0.170854271356784 "MinBinder" 0.4 2015
0.170854271356784 "MinBinder" 0.45 2015
0.170854271356784 "MinBinder" 0.5 2015
0.170854271356784 "MinBinder" 0.55 2015
0.170854271356784 "MinBinder" 0.6 2015
0.170854271356784 "MinBinder" 0.65 2015
0.170854271356784 "MinBinder" 0.7 2015
0.170854271356784 "MinBinder" 0.75 2015
0.170854271356784 "MinBinder" 0.8 2015
0.170854271356784 "MinBinder" 0.85 2015
0.170854271356784 "MinBinder" 0.9 2015
0.170854271356784 "MinBinder" 0.95 2015
0.170854271356784 "MinBinder" 1 2015
0.489795918367347 "MinBinder" 0.05 2016
0.232081911262799 "MinBinder" 0.1 2016
0.3687374749499 "MinBinder" 0.15 2016
0.489795918367347 "MinBinder" 0.2 2016
0.647519582245431 "MinBinder" 0.25 2016
0.3687374749499 "MinBinder" 0.3 2016
0.3687374749499 "MinBinder" 0.35 2016
0.3687374749499 "MinBinder" 0.4 2016
0.489795918367347 "MinBinder" 0.45 2016
0.489795918367347 "MinBinder" 0.5 2016
0.3687374749499 "MinBinder" 0.55 2016
0.3687374749499 "MinBinder" 0.6 2016
0.3687374749499 "MinBinder" 0.65 2016
